nok_id,fV,R,egim,yontem,fR,fS,U_esit,U_uzman_gorus_agirlikli,U_uzman_denge_arayisi,M0,M1_esit,fE,M2,grup
B004,0.3338,22.43,1.17,gdal_viewshed,0.7245,1.0,0.6861,0.5842,0.6509,0.3338,0.6861,1.0,0.7175,tarihsel_sim
B035,0.2852,-2.31,24.5,gdal_viewshed,0.3562,0.22,0.2871,0.2935,0.2869,0.2852,0.2871,1.0,0.4364,tarihsel_sim
B026,0.2656,-37.64,8.88,gdal_viewshed,0.0,0.8448,0.3702,0.3018,0.3597,0.2656,0.3702,1.0,0.4486,tarihsel_sim
B018,0.2171,8.87,4.33,gdal_viewshed,0.5227,1.0,0.58,0.4654,0.5436,0.2171,0.58,0.9807,0.6181,tarihsel_sim
B013,0.2084,7.69,4.02,gdal_viewshed,0.5051,1.0,0.5712,0.4557,0.5349,0.2084,0.5712,0.968,0.6076,tarihsel_sim
B003,0.1469,12.13,1.39,gdal_viewshed,0.5712,1.0,0.5727,0.4448,0.5301,0.1469,0.5727,0.9866,0.6128,tarihsel_sim
K404751,0.1404,8.86,1.96,gdal_viewshed,0.5225,1.0,0.5543,0.427,0.5129,0.1404,0.5543,0.9615,0.5912,tarihsel_sim
B032,0.1258,-7.18,12.95,gdal_viewshed,0.2837,0.682,0.3639,0.2844,0.34,0.1258,0.3639,0.9808,0.4554,tarihsel_sim
B033,0.1085,1.12,0.45,gdal_viewshed,0.4073,1.0,0.5053,0.3764,0.4656,0.1085,0.5053,1.0,0.5547,tarihsel_sim
B043,0.1055,-1.09,0.48,gdal_viewshed,0.3744,1.0,0.4934,0.3651,0.4545,0.1055,0.4934,1.0,0.544,tarihsel_sim
K420196,0.0922,-1.84,8.91,gdal_viewshed,0.3632,0.8436,0.433,0.3238,0.3989,0.0922,0.433,0.9559,0.4965,tarihsel_sim
B010,0.0817,13.85,3.1,gdal_viewshed,0.5968,1.0,0.5595,0.4199,0.5117,0.0817,0.5595,0.9851,0.6006,tarihsel_sim
K221155,0.0814,13.27,4.31,gdal_viewshed,0.5882,1.0,0.5566,0.4172,0.509,0.0814,0.5566,1.0,0.6009,tarihsel_sim
B011,0.0752,7.08,3.6,gdal_viewshed,0.496,1.0,0.5238,0.3864,0.4789,0.0752,0.5238,0.9865,0.5687,tarihsel_sim
K151168,0.0728,-2.65,0.95,gdal_viewshed,0.3512,1.0,0.4747,0.3418,0.4345,0.0728,0.4747,1.0,0.5272,tarihsel_sim
B028,0.0725,-5.38,4.56,gdal_viewshed,0.3105,1.0,0.4611,0.3294,0.4222,0.0725,0.4611,1.0,0.5149,tarihsel_sim
B038,0.0706,0.32,1.09,gdal_viewshed,0.3954,1.0,0.4887,0.3539,0.4469,0.0706,0.4887,0.9217,0.5241,tarihsel_sim
K101553,0.0702,-20.77,5.62,gdal_viewshed,0.0814,0.9752,0.3757,0.2546,0.3451,0.0702,0.3757,0.5,0.3405,tarihsel_sim
B012,0.0681,-3.47,0.94,gdal_viewshed,0.339,1.0,0.4691,0.3358,0.4289,0.0681,0.4691,0.98,0.5181,tarihsel_sim
B044,0.0649,0.01,8.74,gdal_viewshed,0.3908,0.8504,0.4354,0.3198,0.3983,0.0649,0.4354,0.97,0.5008,tarihsel_sim
K19970,0.0629,-3.99,1.69,gdal_viewshed,0.3312,1.0,0.4648,0.3308,0.4245,0.0629,0.4648,0.8931,0.4968,tarihsel_sim
K77209,0.0628,-9.98,4.31,gdal_viewshed,0.242,1.0,0.435,0.304,0.3977,0.0628,0.435,1.0,0.4914,tarihsel_sim
K143763,0.0628,1.83,1.32,gdal_viewshed,0.4179,1.0,0.4936,0.3568,0.4505,0.0628,0.4936,0.9774,0.5397,tarihsel_sim
K297240,0.0621,6.02,4.77,gdal_viewshed,0.4802,1.0,0.5141,0.3751,0.4689,0.0621,0.5141,0.9888,0.5604,tarihsel_sim
K21211,0.0594,-0.87,1.7,gdal_viewshed,0.3777,1.0,0.4791,0.343,0.4371,0.0594,0.4791,0.8744,0.506,tarihsel_sim
B018,0.2171,8.87,4.33,gdal_viewshed,0.5227,1.0,0.58,0.4654,0.5436,0.2171,0.58,0.9807,0.6181,kontrol_sim
K392304,0.036,4.44,9.18,gdal_viewshed,0.4567,0.8328,0.4419,0.3216,0.4012,0.036,0.4419,0.9602,0.5064,kontrol_sim
K301037,0.0234,15.01,7.68,gdal_viewshed,0.6141,0.8928,0.5101,0.3745,0.4614,0.0234,0.5101,0.9562,0.5611,kontrol_sim
K19970,0.0629,-3.99,1.69,gdal_viewshed,0.3312,1.0,0.4648,0.3308,0.4245,0.0629,0.4648,0.8931,0.4968,kontrol_sim
K16990,0.0427,4.17,3.34,gdal_viewshed,0.4527,1.0,0.4985,0.3572,0.4529,0.0427,0.4985,0.7957,0.5078,kontrol_sim
B034,0.0458,10.55,9.66,gdal_viewshed,0.5477,0.8136,0.4691,0.3499,0.4267,0.0458,0.4691,0.9839,0.5376,kontrol_sim
K187169,0.0,-59.46,19.56,gdal_viewshed,0.0,0.4176,0.1392,0.0835,0.1253,0.0,0.1392,1.0,0.2835,kontrol_sim
K311365,0.0,-21.47,1.61,gdal_viewshed,0.071,1.0,0.3571,0.2213,0.3213,0.0,0.3571,0.9914,0.4196,kontrol_sim
K273839,0.0,-4.31,0.34,gdal_viewshed,0.3265,1.0,0.4422,0.298,0.3979,0.0,0.4422,0.9878,0.4955,kontrol_sim
B011,0.0752,7.08,3.6,gdal_viewshed,0.496,1.0,0.5238,0.3864,0.4789,0.0752,0.5238,0.9865,0.5687,kontrol_sim
K420196,0.0922,-1.84,8.91,gdal_viewshed,0.3632,0.8436,0.433,0.3238,0.3989,0.0922,0.433,0.9559,0.4965,kontrol_sim
K24594,0.0,8.17,14.05,gdal_viewshed,0.5122,0.638,0.3834,0.2813,0.3451,0.0,0.3834,0.668,0.4149,kontrol_sim
B001,0.0,-55.32,12.53,gdal_viewshed,0.0,0.6988,0.233,0.1398,0.2096,0.0,0.233,0.7843,0.2966,kontrol_sim
K76828,0.0,10.9,2.45,gdal_viewshed,0.5529,1.0,0.5177,0.3659,0.4659,0.0,0.5177,0.9668,0.5592,kontrol_sim
K329907,0.0,-26.94,2.68,gdal_viewshed,0.0,1.0,0.3334,0.2,0.3,0.0,0.3334,0.9984,0.3997,kontrol_sim
B037,0.0,-7.47,4.24,gdal_viewshed,0.2794,1.0,0.4265,0.2838,0.3838,0.0,0.4265,0.9876,0.4813,kontrol_sim
B025,0.0073,-2.76,7.29,gdal_viewshed,0.3495,0.9084,0.4218,0.2902,0.3803,0.0073,0.4218,0.9816,0.485,kontrol_sim
B032,0.1258,-7.18,12.95,gdal_viewshed,0.2837,0.682,0.3639,0.2844,0.34,0.1258,0.3639,0.9808,0.4554,kontrol_sim
K77209,0.0628,-9.98,4.31,gdal_viewshed,0.242,1.0,0.435,0.304,0.3977,0.0628,0.435,1.0,0.4914,kontrol_sim
K77534,0.0568,-8.71,1.99,gdal_viewshed,0.261,1.0,0.4393,0.3067,0.401,0.0568,0.4393,1.0,0.4953,kontrol_sim
B006,0.0396,-6.23,1.19,gdal_viewshed,0.2979,1.0,0.4459,0.3092,0.4052,0.0396,0.4459,0.9698,0.4952,kontrol_sim
B015,0.0,21.03,11.17,gdal_viewshed,0.7037,0.7532,0.4857,0.3618,0.4371,0.0,0.4857,0.9243,0.5466,kontrol_sim
B035,0.2852,-2.31,24.5,gdal_viewshed,0.3562,0.22,0.2871,0.2935,0.2869,0.2852,0.2871,1.0,0.4364,kontrol_sim
A010,0.0043,-2.48,3.74,gdal_viewshed,0.3537,1.0,0.4527,0.3083,0.4078,0.0043,0.4527,1.0,0.5074,kontrol_sim
